Hydrophis peronii	Elapidae (Hydrophiinae), Serpentes (snakes)	Hydrophis	peronii	DUMRIL	1853	Spiny-headed seasnake	Yes	Yes
Acanthophis antarcticus	Elapidae, Serpentes (snakes)	Acanthophis	antarcticus	SHAW	1802	Common death adder	Yes	No
Acanthophis hawkei	Elapidae, Serpentes (snakes)	Acanthophis	hawkei	WELLS & WELLINGTON	1985		Yes	No
Acanthophis praelongus	Elapidae, Serpentes (snakes)	Acanthophis	praelongus	RAMSAY	1877	Northern death adder	Yes	No
Acanthophis pyrrhus	Elapidae, Serpentes (snakes)	Acanthophis	pyrrhus	BOULENGER	1898	Desert Death Adder	Yes	No
Acanthophis wellsi	Elapidae, Serpentes (snakes)	Acanthophis	wellsi	HOSER	1998		Yes	No
Achalinus ater	Xenodermatidae, Serpentes (snakes)	Achalinus	ater	BOURRET	1937	Bourret's Odd-scaled Snake	No	No
Achalinus formosanus	Xenodermatidae, Serpentes (snakes)	Achalinus	formosanus	BOULENGER	1908	Formosa Odd-scaled Snake	No	No
Achalinus hainanus	Xenodermatidae, Serpentes (snakes)	Achalinus	hainanus	HUANG	1975	Hainan Odd-scaled Snake	No	No
Achalinus jinggangensis	Xenodermatidae, Serpentes (snakes)	Achalinus	jinggangensis	ZONG & MA	1983	Zong's Odd-scaled Snake	No	No
Achalinus meiguensis	Xenodermatidae, Serpentes (snakes)	Achalinus	meiguensis	HU & ZHAO	1966	Szechwan Odd-scaled Snake	No	No
Achalinus niger	Xenodermatidae, Serpentes (snakes)	Achalinus	niger	MAKI	1931	Black Odd-scaled Snake	No	No
Achalinus rufescens	Xenodermatidae, Serpentes (snakes)	Achalinus	rufescens	BOULENGER	1888	Boulenger's Odd-scaled Snake	No	No
Achalinus spinalis	Xenodermatidae, Serpentes (snakes)	Achalinus	spinalis	PETERS	1869	Peters' Odd-scaled Snake	No	No
Achalinus werneri	Xenodermatidae, Serpentes (snakes)	Achalinus	werneri	VAN DENBURGH	1912	Amami odd-scaled snake	No	No
Acrochordus arafurae	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	arafurae	MCDOWELL	1979	Arafura filesnake	No	No
Acrochordus granulatus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	granulatus	SCHNEIDER	1799	Little filesnake, Marine File Snake, Wart Snake	No	No
Acrochordus javanicus	Acrochordidae, Caenophidia, Serpentes (snakes)	Acrochordus	javanicus	HORNSTEDT	1787	Javan File Snake, Elephant Trunk Snake	No	No
Acutotyphlops infralabialis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	infralabialis	WAITE	1918	Red Blind Snake	No	No
Acutotyphlops kunuaensis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	kunuaensis	WALLACH	1995	Kunua Blind Snake	No	No
Acutotyphlops solomonis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	solomonis	PARKER	1939		No	No
Acutotyphlops subocularis	Typhlopidae (Asiatyphlopinae), Typhlopoidea, Serpentes (snakes)	Acutotyphlops	subocularis	WAITE	1897	Bismarck sharp-nosed blindsnake	No	No
Adelophis copei	Natricidae, Colubroidea, Serpentes (snakes)	Adelophis	copei	DUGS	1879	Cope's Mountain Meadow Snake	No	No
Adelophis foxi	Natricidae, Colubroidea, Serpentes (snakes)	Adelophis	foxi	ROSSMAN & BLANEY	1968	Fox's Mountain Meadow Snake	No	No
Adelphicos daryi	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	daryi	CAMPBELL & FORD	1982	Dary's Burrowing Snake	No	No
Adelphicos ibarrorum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	ibarrorum	CAMPBELL & BRODIE	1988		No	No
Adelphicos latifasciatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	latifasciatum	LYNCH & SMITH	1966	Oaxacan Burrowing Snake	No	No
Adelphicos nigrilatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	nigrilatum	SMITH	1942	Burrowing Snake	No	No
Adelphicos quadrivirgatum	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	quadrivirgatum	JAN	1862	Middle American Burrowing Snake	No	No
Adelphicos veraepacis	Dipsadidae, Colubroidea, Serpentes (snakes)	Adelphicos	veraepacis	STUART	1941	Stuart's Burrowing Snake	No	No
Atheris barbouri	Viperidae, Viperinae, Serpentes (snakes)	Atheris	barbouri	LOVERIDGE	1930	Uzungwe Mountain Bush Viper	Yes	Yes
Aeluroglena cucullata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Aeluroglena	cucullata	BOULENGER	1898	Somali Snake	No	No
Afronatrix anoscopus	Natricidae, Colubroidea, Serpentes (snakes)	Afronatrix	anoscopus	COPE	1861	African Brown Water Snake	No	No
Agkistrodon bilineatus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	bilineatus	GNTHER	1863	Cantil, Mexican Moccasin	Yes	Yes
Agkistrodon contortrix	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	contortrix	LINNAEUS	1766	Southern Copperhead	Yes	Yes
Agkistrodon piscivorus	Viperidae, Crotalinae, Serpentes (snakes)	Agkistrodon	piscivorus	LACPDE	1789	conan	Yes	Yes
Ahaetulla dispar	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	dispar	GNTHER	1864	Indian Bronzeback, Gnther's Vine Snake	Yes	No
Ahaetulla fasciolata	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fasciolata	FISCHER	1885	Speckle-headed Whipsnake, Spotted Whipsnake	Yes	No
Ahaetulla fronticincta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	fronticincta	GNTHER	1858	Gnther's Whipsnake, Burmese Vine Snake	Yes	No
Ahaetulla mycterizans	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	mycterizans	LINNAEUS	1758	Malayan (Green) Whipsnake	Yes	No
Ahaetulla nasuta	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	nasuta	BONNATERRE	1790	Long-nosed Tree Snake, Green vine snake, Long-nosed Whip Snake	Yes	No
Ahaetulla perroteti	Colubridae, Colubrinae, Colubroidea, Serpentes (snakes)	Ahaetulla	perroteti	DUMRIL & BIBRON	1854	Western Ghats Bronzeback	Yes	No
